id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50806853,"Nice flat, good location, two bedrooms",3592245,Fabio,Kreis 6,Unterstrass,47.39845,8.54295,Entire home/apt,160,21,4,2022-08-14,0.57,4,130,4,
50807277,Private room between river & forest in shared flat,252732641,Sina,Kreis 10,Wipkingen,47.39339,8.52268,Private room,44,6,5,2022-09-10,0.42,1,1,5,
50812304,Lovely 1 bedroom apartment in Central Zurich,8052026,Sebastian,Kreis 4,Langstrasse,47.37625,8.52033,Entire home/apt,152,2,21,2022-09-11,1.43,1,349,19,
50829677,Beautiful & central apartment in Zurich Seefeld,67608408,Betty,Kreis 8,Mühlebach,47.35843,8.5571,Entire home/apt,205,1,10,2022-06-23,0.72,1,363,8,
50832363,Very central,9108753,Milenko,Kreis 5,Gewerbeschule,47.38569,8.52806,Private room,83,1,71,2022-09-18,6.21,2,355,71,
50836284,"City Center / Altstetten - 2 BR, Terrace, Parking",1746873,Frank,Kreis 9,Altstetten,47.39076,8.48442,Entire home/apt,162,2,77,2022-09-20,5.40,7,28,67,
50836794,"City Center / Altstetten - 2 BR, Garden, Parking",1746873,Frank,Kreis 9,Altstetten,47.38939,8.48381,Entire home/apt,162,2,82,2022-09-04,5.94,7,31,73,
50839980,very nice single room,134482609,Residence Hotel Swiss,Kreis 9,Altstetten,47.3872,8.49158,Private room,75,7,4,2022-03-31,0.33,10,0,4,
50841814,central located apartment with beautiful room and garden,5348855,Azu,Kreis 6,Unterstrass,47.38558,8.53884,Entire home/apt,80,1,5,2021-08-29,0.34,1,0,0,
50886155,Comfortable 1.5 room apartment in Zurich,122327809,Helena,Kreis 9,Albisrieden,47.3789,8.48346,Entire home/apt,80,5,2,2022-01-24,0.22,1,0,2,
50891442,Wohnen am Römerhof ARES,336827675,Tiziana,Kreis 7,Hottingen,47.3682,8.56376,Entire home/apt,165,3,3,2022-04-16,0.23,15,323,2,
50905553,Studio for male professional,411622548,Alexander,Kreis 2,Wollishofen,47.34713,8.53346,Entire home/apt,75,30,1,2021-08-31,0.08,1,0,0,
50907153,The Chalet Style in pedestrian area,374518622,Lisa,Kreis 1,Rathaus,47.37201,8.54397,Entire home/apt,135,14,5,2022-07-30,0.36,1,344,2,
50914891,"""Stellina"" Pretty furnished studio with terrace",371008290,Sonia,Kreis 11,Oerlikon,47.405109,8.548742,Entire home/apt,93,1,99,2022-09-21,6.83,6,53,85,
50951677,Beautiful room in large three-storey apartment,194488207,Oliver,Kreis 2,Enge,47.3597,8.52679,Private room,70,1,4,2021-09-17,0.31,4,0,0,
50952286,Kreis 7 - Beautiful Room in Gardenapartment,43111694,Susanna,Kreis 7,Witikon,47.357807,8.599515,Private room,45,28,1,2021-07-25,0.07,10,142,0,
50967315,Calm and bright apartment near by the river,139712041,Laura,Kreis 10,Wipkingen,47.3947,8.51551,Entire home/apt,70,7,3,2021-09-13,0.22,2,0,0,
50982827,Entire apartment/Studio hosted by Leo,325921462,Lrs,Kreis 6,Unterstrass,47.40347,8.53579,Entire home/apt,150,1,6,2022-09-19,3.67,1,340,6,
51021138,Kreis 7 - Quiet Room with large balcony,43111694,Susanna,Kreis 7,Witikon,47.357597,8.599312,Private room,30,28,2,2021-11-30,0.17,10,142,2,
51029999,Schöne Wohnung in Wipkingen,164632538,Ganimete,Kreis 10,Wipkingen,47.3931,8.52554,Entire home/apt,75,5,2,2022-08-08,0.15,1,272,1,
51040364,Modern and cozy flat in central Zurich,5274702,Maya,Kreis 5,Gewerbeschule,47.38324,8.53164,Entire home/apt,150,5,0,,,1,0,0,
