id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21180787,The Happy Traveller Inn - Sustainability STAY,152939808,Ivan Koenig,Kreis 5,Gewerbeschule,47.38048,8.53461,Private room,56,6,307,2020-03-01,5.34,2,0,0,
21270657,Boutique designer apartment in the centre of town,153115058,Thomas,Kreis 4,Werd,47.37212,8.5265,Entire home/apt,235,3,58,2022-04-29,1.21,1,123,16,
21294062,Stadt Zürich 207-Albisriederplatz Appartement,19610180,Rossana,Kreis 4,Hard,47.3803,8.50703,Entire home/apt,85,1,139,2022-06-15,2.44,15,336,36,
21314940,smart Business Stay: 450 m to Zurich HB (14+ days),152939808,Ivan Koenig,Kreis 5,Gewerbeschule,47.38216,8.53381,Private room,42,7,134,2020-02-24,2.35,2,0,0,
21318112,Room: 2★Your downtown base for tourism + business★,154301820,Severin,Kreis 4,Langstrasse,47.38035,8.52826,Private room,66,1,534,2022-06-23,9.35,2,151,83,
21381593,"Bright, spacious room with large loggia",29950378,Maximilian,Kreis 9,Albisrieden,47.37327,8.49369,Private room,49,4,31,2020-01-02,0.55,1,0,0,
21432677,Acasa Suites,155363148,Acasa Suites,Kreis 11,Oerlikon,47.4132,8.54199,Hotel room,189,5,7,2021-10-24,0.14,1,348,3,
21433086,Great Apartment close to Zurich City!,16951627,Rachel,Kreis 12,Schwamendingen-Mitte,47.4101,8.57708,Shared room,63,1,4,2019-06-26,0.07,2,354,0,
21468955,"STADTHAUS exklusiv & gemütlich, 5 Zimmer, 2 Gärten",3092677,Diego,Kreis 9,Altstetten,47.38479,8.49884,Entire home/apt,165,4,3,2021-08-16,0.06,1,4,1,
21497605,GDN Apartment 4,3072679,Andrea,Kreis 10,Wipkingen,47.39304,8.52821,Entire home/apt,165,3,6,2020-04-05,0.11,5,84,0,
21507871,Large stylish double room in the center of Zurich,12493353,Christian,Kreis 3,Sihlfeld,47.37063,8.51668,Private room,65,4,15,2021-09-27,0.27,1,0,2,
21508610,Eclectic Garden Apartment in a Quiet Residential Area,104788688,Beat,Kreis 10,Höngg,47.40421,8.48591,Entire home/apt,189,2,102,2022-06-18,1.80,2,308,20,
21510874,Studio Apartment Mini,16703823,Vision AG Neustadtstrasse,Kreis 11,Seebach,47.41409,8.545,Entire home/apt,93,2,9,2022-05-30,0.16,70,24,5,
21542690,"Very beautiful, large apartment, free parking",40915235,Kathrin,Kreis 7,Witikon,47.35511,8.6048,Entire home/apt,150,3,96,2022-06-22,1.76,1,37,26,
21659564,Cozy historic home in the trendy district 4,12313648,Corina,Kreis 4,Langstrasse,47.37993,8.52502,Entire home/apt,99,3,7,2018-01-26,0.13,1,0,0,
21672054,Christmas Special-Book your private Room!,16951627,Rachel,Kreis 12,Schwamendingen-Mitte,47.40992,8.5769,Private room,80,2,0,,,2,364,0,
21733471,"Central, cozy 2-room apartment in hip district",158275472,Magdalena,Kreis 4,Langstrasse,47.37522,8.5253,Entire home/apt,66,3,25,2020-10-16,0.45,1,0,0,
21757440,Entire Apartment! Beautiful & cosy,27537714,Gustavo & Céline,Kreis 9,Altstetten,47.39099,8.47205,Entire home/apt,54,10,1,2022-02-01,0.21,1,27,1,
21764617,"Perfect location near the airport,transport outdor",68462821,Vincenzo,Kreis 11,Oerlikon,47.40726,8.55132,Private room,56,20,100,2020-10-31,1.80,1,0,0,
21917159,New: Charming studio in the best area of Zürich,13570663,Chris,Kreis 1,Lindenhof,47.3727,8.54082,Entire home/apt,85,4,45,2022-02-11,0.82,37,284,2,
21931545,Gemütliche Wohnung mit tollen Ausblick,109770104,Linda,Kreis 11,Affoltern,47.42425,8.51083,Private room,58,35,0,,,1,90,0,
22023471,Best area at the lake,13570663,Chris,Kreis 8,Mühlebach,47.36313,8.55054,Entire home/apt,85,4,39,2022-03-09,0.70,37,287,16,
22034042,2BR Centrally Located Flat With Balcony,3528377,Marc,Kreis 4,Hard,47.3841,8.50817,Entire home/apt,238,2,219,2022-05-31,3.96,15,324,47,
22092253,2BR Centrally Located Flat With Balcony '2,3528377,Marc,Kreis 4,Hard,47.38429,8.50774,Entire home/apt,235,2,176,2022-06-05,3.18,15,156,39,
22096424,Duplex Apartment Mini,16703823,Vision AG Neustadtstrasse,Kreis 3,Alt-Wiedikon,47.36217,8.52206,Entire home/apt,159,5,7,2022-04-10,0.15,70,7,4,
22137695,2 room (1BR) Apartment Zurich City,34541936,Strahinja,Kreis 4,Hard,47.37843,8.5141,Entire home/apt,157,1,339,2022-06-12,6.14,4,17,72,
22171638,Lake & Mountain View Studio Apartment in Zürich,962686,Tania,Kreis 2,Wollishofen,47.33686,8.53713,Entire home/apt,150,5,14,2022-01-01,0.26,1,51,3,
22218587,"Bright, modern apartment in a great location!",162276262,Nick,Kreis 7,Hottingen,47.36851,8.56367,Entire home/apt,85,2,26,2022-05-09,0.48,1,0,8,
22245449,Spacious room in Zurich,160271099,V,Kreis 6,Unterstrass,47.3947,8.54022,Private room,200,1,0,,,1,0,0,
22261444,"Relax and enjoy ""Little big city Zürich"".",8061776,Salvia,Kreis 2,Wollishofen,47.3319,8.53723,Private room,65,1,2,2019-05-17,0.04,4,0,0,
22280702,cozy apartment near lake & only 30 min to center,162818374,Nonen,Kreis 2,Wollishofen,47.33136,8.53636,Private room,110,1,0,,,1,89,0,
22323761,"Downtown Duplex Apartment (140m2), incl. Parking",1788253,Thierry,Kreis 4,Langstrasse,47.37455,8.52999,Entire home/apt,340,1,218,2022-06-19,4.00,4,169,47,
22364826,Your own apartment in Zurich center,3387193,Dorothea,Kreis 6,Oberstrass,47.37764,8.54849,Entire home/apt,92,2,212,2022-06-09,3.88,2,5,92,
22394369,Boutique studio at the historical old town,13570663,Chris,Kreis 1,Rathaus,47.3741,8.54504,Entire home/apt,95,4,63,2022-06-09,1.16,37,323,1,
22460153,A beautifull apartment in the heart of zurich.,140939030,Intizar,Kreis 11,Oerlikon,47.41308,8.54723,Entire home/apt,95,2,9,2022-05-22,1.54,1,125,9,
22478760,Cozy bedroom in the heart of Zurich,7244300,Claudia,Kreis 4,Werd,47.3699,8.52752,Private room,56,3,28,2022-06-19,0.52,3,0,14,
22509594,cozy appartment in the heart of zurich,7244300,Claudia,Kreis 4,Werd,47.3711,8.5258,Entire home/apt,70,130,15,2020-11-20,0.30,3,1,0,
22538929,Cozy room with private bath - Modern & Bright,10980903,Nicole,Kreis 12,Hirzenbach,47.40538,8.59158,Private room,85,1,85,2022-04-23,2.28,1,0,37,
22543999,Luxurious 4BR Apt - 350Sqm - Zurich Center,3528377,Marc,Kreis 3,Alt-Wiedikon,47.3622,8.52097,Entire home/apt,994,2,63,2022-01-04,1.21,15,240,6,
22556832,cozy room in the heart of zurich,7244300,Claudia,Kreis 4,Werd,47.37205,8.52524,Private room,45,3,93,2020-12-13,1.73,3,0,0,
