id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53431724,Spacious 3-bedroom apartment in central Zurich,38558744,Fiona,Kreis 3,Alt-Wiedikon,47.37004,8.51779,Entire home/apt,150,2,2,2022-01-09,0.17,1,0,2,
53444216,Chic & spacious 2-room apartment in hip district 4,432707854,Jack,Kreis 4,Hard,47.3765,8.51447,Entire home/apt,98,7,7,2022-12-08,0.63,2,281,7,
53468834,"Zurich-Enge: 2-Bed, 2-Bath Ideal for Families",4115498,Jonathan,Kreis 2,Wollishofen,47.35173,8.52925,Entire home/apt,1200,14,0,,,2,365,0,
53470049,Very sunny 1BR flat in the city center (West4),23561865,Tania,Kreis 3,Sihlfeld,47.37236,8.519851,Entire home/apt,159,2,5,2022-10-31,0.42,34,0,5,
53508276,Fully equipped 2.5 room apartment with Terrasse,35573262,Vasko,Kreis 5,Escher Wyss,47.39083,8.51036,Entire home/apt,200,3,3,2022-01-18,0.23,1,0,1,
53569680,Spacious and charming loft in Zürich city center,17784755,Mads,Kreis 2,Enge,47.36719,8.53325,Entire home/apt,260,3,9,2022-12-29,0.72,1,6,8,
53623670,"Detached house - central, 5 bdrs, garden,  parking",1746873,Frank,Kreis 9,Altstetten,47.39013,8.48571,Entire home/apt,419,2,55,2022-12-19,4.58,7,56,55,
53644357,1 Large Studio Flat in Zurich/ Kreis 9,12859286,Angela,Kreis 9,Albisrieden,47.38076,8.495656,Entire home/apt,100,4,2,2022-11-02,0.24,1,7,2,
53684387,Cosy 1-bedroom apartment near Opera & Zurich lake,375725804,Ekaterina,Kreis 8,Seefeld,47.36228,8.55035,Entire home/apt,150,4,4,2022-08-09,0.34,1,0,4,
53702202,Cozy apartment in the center of Zurich,114308233,Benjamin,Kreis 4,Langstrasse,47.37684,8.52926,Entire home/apt,166,5,11,2022-12-19,0.95,1,137,11,
53715080,Mountain and Lake-view modern & spacious apartment,38665985,Maxim,Kreis 2,Enge,47.36273,8.53133,Entire home/apt,300,6,0,,,1,283,0,
53715483,Moderne Stadtwohnung an bester Lage,414908522,Manuela,Kreis 9,Altstetten,47.38611,8.49638,Entire home/apt,64,25,2,2022-11-01,0.16,1,57,2,
53730106,Lovely & bright apartment in Zurich,5560027,Guillaume,Kreis 9,Albisrieden,47.37111,8.5003,Entire home/apt,67,2,8,2022-10-23,0.63,1,24,7,
53738673,Cosy Apartment in the Center of Zurich,435235667,Jacques,Kreis 8,Mühlebach,47.36222,8.55253,Entire home/apt,146,5,4,2022-11-02,0.33,1,115,4,
53754015,"Charmante Stadtwohnung in Zürich, sehr ruhig",433007573,Jeannette,Kreis 3,Alt-Wiedikon,47.36936,8.51987,Entire home/apt,150,7,2,2022-09-01,0.20,2,305,2,
